2813,0.0,0.015625,0.03515625
4489,0.015625,-0.015625,-0.00390625
5181,0.0078125,-0.0078125,-0.04296875
5515,-0.03125,-0.0078125,-0.00390625
5832,0.0078125,-0.0078125,-0.01171875
7192,-0.0234375,-0.015625,-0.01171875
9188,-0.03125,-0.0078125,-0.01171875
9522,-0.0234375,0.03125,-0.05078125
10213,0.015625,-0.0078125,-0.01171875
10865,0.0078125,0.03125,-0.01171875
12542,-0.0234375,-0.0078125,0.02734375
12877,0.015625,-0.0078125,-0.01171875
13568,-0.0234375,0.03125,0.02734375
13903,-0.0234375,0.03125,-0.01171875
14220,-0.03125,-0.0078125,-0.01171875
14554,0.015625,-0.0078125,-0.01171875
15245,0.0078125,0.0234375,-0.05859375
15580,-0.0390625,-0.015625,-0.01171875
15898,0.015625,0.03125,-0.01171875
16923,0.03515625,0.0234375,0.02734375
18602,0.0078125,-0.015625,-0.01171875
18936,0.0078125,-0.0078125,-0.01171875
19253,0.0078125,0.03125,-0.01171875
20279,0.0078125,-0.0078125,0.02734375
20613,0.015625,-0.0078125,-0.01171875
21265,0.0078125,-0.0078125,-0.01171875
22943,-0.03125,-0.0078125,-0.01171875
23635,0.015625,0.03125,-0.01171875
25647,0.015625,0.03125,-0.01171875
25965,0.015625,0.03125,-0.01171875
26298,-0.0234375,-0.0078125,-0.05078125
27323,-0.03125,-0.0078125,-0.01171875
27975,-0.03125,-0.0078125,-0.01171875
28667,0.0078125,-0.0078125,-0.00390625
29000,0.0078125,-0.0078125,-0.01171875
29319,-0.03125,0.03125,0.06640625
30996,0.0,-0.015625,-0.00390625
32356,0.0,-0.015625,-0.01171875
33700,-0.0390625,0.0234375,-0.05078125
34686,0.0078125,-0.0078125,-0.01171875
35378,0.0078125,0.0234375,-0.01171875
36363,0.015625,0.0234375,0.02734375
37388,0.0078125,-0.0078125,-0.01171875
37706,0.0078125,0.0234375,0.02734375
38732,0.0078125,-0.015625,-0.01171875
39384,-0.03125,0.0234375,0.03515625
41396,0.0078125,-0.0078125,-0.01171875
42087,0.0078125,0.0234375,-0.05078125
42740,0.0078125,0.0234375,-0.01171875
43073,0.0078125,-0.0078125,-0.01171875
43765,0.0078125,0.0234375,-0.01171875
44098,-0.03125,-0.015625,-0.00390625
44416,-0.03125,0.03125,-0.01171875
44749,0.0078125,0.0234375,-0.01171875
46132,0.0078125,-0.0078125,0.03515625
